pool_order,ssa_rank,display_name,origin,meaning,canonical_source_name,relationship_to_source,confidence,source_1,source_2,research_notes
1,1,Olivia,English / Latin,olive; Shakespearean form,Olivia,original literary form,high,Behind the Name,Oxford Dictionary of English Christian Names,Shakespeare used the spelling; probably from Latin oliva or related forms.
2,2,Charlotte,French / Germanic,free person,Charles,feminine form,high,Behind the Name,Oxford Dictionary of First Names,"French feminine diminutive of Charles, from a Germanic element meaning free person."
3,3,Emma,Germanic,"whole, universal",Emma,original name,high,Behind the Name,Wiktionary,"From a Germanic element ermen meaning whole or universal."
4,4,Amelia,Germanic / Latinized,work,Amalia,variant,high,Behind the Name,Oxford Dictionary of First Names,"English form related to Amalia, from Germanic amal meaning work."
5,5,Sophia,Greek,wisdom,Sophia,original name,high,Behind the Name,Wiktionary,"From Greek sophia, wisdom."
6,6,Mia,Scandinavian / Italian,mine; diminutive of Maria,Maria,diminutive,medium,Behind the Name,Wiktionary,"Used as a diminutive of Maria and independently; Italian mia also means mine."
7,7,Isabella,Italian / Hebrew,my God is an oath,Elizabeth,variant,high,Behind the Name,Oxford Dictionary of First Names,"Italian form of Isabel, ultimately from Hebrew Elisheva."
8,8,Evelyn,English / Norman French,desired; historically a surname form,Aveline,variant / surname transfer,medium,Behind the Name,Oxford Dictionary of First Names,"Developed from the Norman name Aveline and later an English surname."
9,9,Sofia,Greek,wisdom,Sophia,variant,high,Behind the Name,Wiktionary,International spelling of Sophia.
10,10,Eliana,Hebrew / Italian,my God has answered; also feminine of Eliano,Eliana,multiple origins,medium,Behind the Name,Wiktionary,"Hebrew and Romance traditions coexist; the common Hebrew interpretation is my God has answered."
11,11,Ava,Germanic / Persian / modern English,possibly desired; voice or sound in Persian,Ava,multiple origins,medium,Behind the Name,Wiktionary,"Several independent origins are proposed; no single derivation is universal."
12,12,Eleanor,Old French / Greek,meaning uncertain; traditionally linked to Helen,Aliénor,original medieval form,medium,Behind the Name,Oxford Dictionary of First Names,"Medieval French name of uncertain derivation, later associated with Helen."
13,13,Violet,English / Latin,violet flower,Violet,vocabulary name,high,Behind the Name,Wiktionary,"From the flower name, ultimately Latin viola."
14,14,Ailany,Modern American / Hawaiian-influenced,modern form; exact derivation uncertain,Ailani,modern variant,low,Behind the Name submitted names,SSA usage,"Rare modern spelling, commonly treated as a variant of Ailani or Kailani; exact formation is not firmly documented."
15,15,Aurora,Latin,dawn,Aurora,original name,high,Behind the Name,Wiktionary,Latin word and Roman goddess of dawn.
16,16,Harper,English,harp player,Harper,surname transfer,high,Behind the Name,Oxford Dictionary of Family Names,Transferred from an occupational surname.
17,17,Elizabeth,Hebrew,my God is an oath,Elisheva,variant,high,Behind the Name,Wiktionary,From Hebrew Elisheva through Greek and Latin.
18,18,Lily,English / Latin,lily flower,Lily,vocabulary name,high,Behind the Name,Wiktionary,"From the flower name, ultimately Latin lilium."
19,19,Camila,Spanish / Portuguese / Latin,young ceremonial attendant,Camilla,variant,high,Behind the Name,Wiktionary,"Spanish and Portuguese form of Camilla, linked to Latin camillus."
20,20,Nora,Irish / English / Latin,honor; light,Honora / Eleanor,diminutive / multiple origins,medium,Behind the Name,Oxford Dictionary of First Names,"Used as a short form of Honora or Eleanor; meanings vary by source line."
21,21,Hazel,English,hazel tree,Hazel,vocabulary name,high,Behind the Name,Wiktionary,From the English tree and color word.
22,22,Penelope,Greek,meaning uncertain; traditionally associated with weaving,Penelope,original name,medium,Behind the Name,Wiktionary,"Ancient Greek name of disputed etymology; literary association with the faithful weaver in the Odyssey."
23,23,Chloe,Greek,green shoot,Chloe,original name,high,Behind the Name,Wiktionary,"From Greek khloē, a young green shoot."
24,24,Ellie,English,short form of Eleanor; Ellen; Elizabeth and related names,Eleanor / Ellen / Elizabeth,diminutive,high,Behind the Name,Oxford Dictionary of First Names,Established English diminutive with several source names.
25,25,Lucy,English / Latin,light,Lucia,variant,high,Behind the Name,Wiktionary,"English form of Lucia, from Latin lux, light."
26,26,Aria,Italian / Hebrew / Persian,air or melody; lioness; noble,Aria,multiple origins,medium,Behind the Name,Wiktionary,"Independent musical, Hebrew and Persian derivations exist."
27,27,Luna,Latin,moon,Luna,original / vocabulary name,high,Behind the Name,Wiktionary,Latin word for moon and Roman moon goddess.
28,28,Isla,Scottish / Spanish,island; also a Scottish river name,Isla,place / vocabulary name,medium,Behind the Name,Wiktionary,"Modern use is associated with the Scottish River Isla and Spanish isla, island."
29,29,Ella,Germanic / English,other; also a short form of several names,Ella,original / diminutive,medium,Behind the Name,Oxford Dictionary of First Names,Old Germanic name element and later diminutive usage overlap.
30,30,Lainey,English,"bright, shining one",Elaine,diminutive / variant,medium,Behind the Name,Wiktionary,"Modern diminutive of Elaine; sometimes also used from surname Laine."
31,31,Zoe,Greek,life,Zoe,original name,high,Behind the Name,Wiktionary,"From Greek zōē, life."
32,32,Scarlett,English,scarlet cloth or color,Scarlett,surname / vocabulary transfer,high,Behind the Name,Oxford Dictionary of Family Names,"From an occupational surname for a seller of scarlet cloth, later associated with the color."
33,33,Gianna,Italian / Hebrew,God is gracious,Giovanna,diminutive,high,Behind the Name,Wiktionary,"Italian short form of Giovanna, ultimately from Hebrew Yohanan."
